,Sample,Host.type,Relative.abundance,vOTU.number
1,A1,Eukaryota,98.24835748,279
2,A1,Bacteria,0.611882259,485
3,A1,Archaea,0.003128169,1
4,A1,Unknown,1.136632088,385
5,A9,Eukaryota,66.47003389,138
6,A9,Bacteria,32.92826185,128
7,A9,Archaea,0.005768682,1
8,A9,Unknown,0.595935578,243
9,A2,Eukaryota,91.90424091,293
10,A2,Bacteria,6.626038204,608
11,A2,Archaea,0.003709425,1
12,A2,Unknown,1.466011459,442
13,A3,Eukaryota,99.5610406,226
14,A3,Bacteria,0.227965763,149
15,A3,Archaea,0.002925165,1
16,A3,Unknown,0.208068472,296
17,A4,Eukaryota,95.77402779,297
18,A4,Bacteria,1.00165933,254
19,A4,Archaea,0.091244319,6
20,A4,Unknown,3.133068561,586
21,A5,Eukaryota,99.05943759,226
22,A5,Bacteria,0.130738671,181
23,A5,Archaea,0.005255345,5
24,A5,Unknown,0.804568389,361
25,A6,Eukaryota,96.97326094,256
26,A6,Bacteria,0.603213804,178
27,A6,Archaea,0.037839571,6
28,A6,Unknown,2.385685684,447
29,A7,Eukaryota,97.58584025,268
30,A7,Bacteria,0.352626819,197
31,A7,Archaea,0.019515029,6
32,A7,Unknown,2.042017903,454
33,A8,Eukaryota,57.722204,250
34,A8,Bacteria,29.74143455,271
35,A8,Archaea,0.007799596,3
36,A8,Unknown,12.52856185,485
37,B1,Eukaryota,47.03780568,329
38,B1,Bacteria,5.366042014,1047
39,B1,Archaea,32.7271438,1
40,B1,Unknown,14.86900851,588
41,B10,Eukaryota,46.44886925,81
42,B10,Bacteria,2.666627694,155
43,B10,Archaea,0.06456679,2
44,B10,Unknown,50.81993626,174
45,B2,Eukaryota,64.99912661,520
46,B2,Bacteria,8.995227138,1255
47,B2,Archaea,1.474893016,3
48,B2,Unknown,24.53075323,965
49,B3,Eukaryota,47.0900819,625
50,B3,Bacteria,30.22045504,1534
51,B3,Archaea,4.431192131,11
52,B3,Unknown,18.25827093,1637
53,B4,Eukaryota,46.41382756,653
54,B4,Bacteria,15.59333481,1258
55,B4,Archaea,1.523031464,8
56,B4,Unknown,36.46980617,1503
57,B5,Eukaryota,40.22683355,396
58,B5,Bacteria,0.891336157,392
59,B5,Archaea,0.113199645,8
60,B5,Unknown,58.76863065,747
61,B6,Eukaryota,50.4702196,560
62,B6,Bacteria,3.559232538,688
63,B6,Archaea,0.124807042,11
64,B6,Unknown,45.84574082,1227
65,B7,Eukaryota,28.03882273,493
66,B7,Bacteria,1.122504139,592
67,B7,Archaea,0.055114221,16
68,B7,Unknown,70.78355891,1034
69,B8,Eukaryota,39.00295002,468
70,B8,Bacteria,6.394657452,406
71,B8,Archaea,0.045175975,9
72,B8,Unknown,54.55721655,788
73,B9,Eukaryota,42.15026189,437
74,B9,Bacteria,4.949498024,384
75,B9,Archaea,0.053912632,8
76,B9,Unknown,52.84632745,851
77,C1,Eukaryota,77.71092792,558
78,C1,Bacteria,11.54284,565
79,C1,Archaea,0.085638407,12
80,C1,Unknown,10.66059367,834
81,C3,Eukaryota,88.49873747,45
82,C3,Bacteria,1.266769061,56
83,C3,Archaea,0,NA
84,C3,Unknown,10.23449347,88
85,C2,Eukaryota,31.2294935,588
86,C2,Bacteria,35.65725853,381
87,C2,Archaea,0.009918925,7
88,C2,Unknown,33.10332905,845
