,Sample,Others,Vertebrate virus,percent,Host.type,vOTU.number
1,A1,7814.36072,426234.8208,98.19966007,Vertebrate,251
2,A9,146800.454,290782.1278,66.45194299,Vertebrate,121
3,A2,32322.21811,364524.3009,91.85523457,Vertebrate,262
4,A3,2368.760049,434980.8921,99.458383,Vertebrate,203
5,A4,16288.80075,347936.091,95.52781781,Vertebrate,257
6,A5,4171.072255,430018.9888,99.03934414,Vertebrate,195
7,A6,12408.65864,388404.4839,96.9041288,Vertebrate,217
8,A7,10362.64041,408195.5845,97.52420576,Vertebrate,228
9,A8,130545.2453,152830.9183,53.93217141,Vertebrate,221
10,B1,177170.6513,150156.2144,45.87347698,Vertebrate,301
11,B10,189087.0531,161798.5058,46.11147472,Vertebrate,69
12,B2,110303.8009,193207.5818,63.6574418,Vertebrate,490
13,B3,163341.6003,138710.5665,45.92271856,Vertebrate,577
14,B4,171452.3111,140050.1248,44.95956007,Vertebrate,592
15,B5,224998.0857,151291.4828,40.20613259,Vertebrate,364
16,B6,135505.8902,137364.4934,50.3405652,Vertebrate,508
17,B7,258542.5679,100573.4503,28.00583801,Vertebrate,451
18,B8,227205.0058,144878.8415,38.93714886,Vertebrate,431
19,B9,210892.6454,153489.1776,42.12317077,Vertebrate,404
20,C1,78530.90416,247598.0993,75.92029432,Vertebrate,508
21,C3,46223.86748,354467.048,88.4639592,Vertebrate,42
22,C2,242005.9593,43814.5104,15.32938157,Vertebrate,544
